Question,Answer
các hình thức xét tuyển của UIT,"- Phương thức 1: Tuyển thẳng và ưu tiên xét tuyển (25%)
- Phương thức 2: Xét tuyển dựa trên điểm thi (60%)
- Phương thức 3: Xét tuyển dựa trên các chứng chỉ quốc tế uy tín (15%)
- Phương thức 4: Xét tuyển theo tiêu chí riêng của chương trình liên kết với Đại học Birmingham City – Anh Quốc, do ĐH Birmingham City cấp bằng (không tính vào tổng chỉ tiêu)"
cách hình thức tuyển sinh của UIT,"- Phương thức 1: Tuyển thẳng và ưu tiên xét tuyển (25%)
- Phương thức 2: Xét tuyển dựa trên điểm thi (60%)
- Phương thức 3: Xét tuyển dựa trên các chứng chỉ quốc tế uy tín (15%)
- Phương thức 4: Xét tuyển theo tiêu chí riêng của chương trình liên kết với Đại học Birmingham City – Anh Quốc, do ĐH Birmingham City cấp bằng (không tính vào tổng chỉ tiêu)"
liệt kê cho tôi phương thức tuyển sinh của UIT,"- Phương thức 1: Tuyển thẳng và ưu tiên xét tuyển (25%)
- Phương thức 2: Xét tuyển dựa trên điểm thi (60%)
- Phương thức 3: Xét tuyển dựa trên các chứng chỉ quốc tế uy tín (15%)
- Phương thức 4: Xét tuyển theo tiêu chí riêng của chương trình liên kết với Đại học Birmingham City – Anh Quốc, do ĐH Birmingham City cấp bằng (không tính vào tổng chỉ tiêu)"
các loại hình tuyển sinh của UIT,"- Phương thức 1: Tuyển thẳng và ưu tiên xét tuyển (25%)
- Phương thức 2: Xét tuyển dựa trên điểm thi (60%)
- Phương thức 3: Xét tuyển dựa trên các chứng chỉ quốc tế uy tín (15%)
- Phương thức 4: Xét tuyển theo tiêu chí riêng của chương trình liên kết với Đại học Birmingham City – Anh Quốc, do ĐH Birmingham City cấp bằng (không tính vào tổng chỉ tiêu)"
UIT có các kiểu tuyển sinh như thế nào,"- Phương thức 1: Tuyển thẳng và ưu tiên xét tuyển (25%)
- Phương thức 2: Xét tuyển dựa trên điểm thi (60%)
- Phương thức 3: Xét tuyển dựa trên các chứng chỉ quốc tế uy tín (15%)
- Phương thức 4: Xét tuyển theo tiêu chí riêng của chương trình liên kết với Đại học Birmingham City – Anh Quốc, do ĐH Birmingham City cấp bằng (không tính vào tổng chỉ tiêu)"
"Các đối tượng được ưu tiên xét tuyển, tuyển thẳng theo quy định của bộ GD-ĐT","Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
trường UIT có chương trình tuyển thẳng không,"UIT có các chương trình ưu tiên xét tuyển, tuyển thẳng như sau:
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của bộ GD&ĐT
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của ĐHQG-HCM
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của trường ĐHCNTT"
Ai sẽ được tuyển thẳng vào UIT theo quy định của bộ GD-ĐT,"Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Em thi có giải quốc gia thì có được tuyển thẳng không,"Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
đối tượng nào sẽ được tuyển thẳng vào UIT theo quy định của bộ GD-ĐT,"Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Điều kiện để xét tuyển thẳng và ưu tiên xét tuyển theo quy định của bộ GD-ĐT,"Điều kiện được ưu tiên xét tuyển thẳng vào tất cả các ngành theo quy định của Bộ GD&ĐT
- Thí sinh đạt giải các môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT, có kết quả kỳ thi THPT quốc gia đáp ứng tiêu chí đảm bảo chất lượng đầu vào do Trường quy định."
"Học sinh nào sẽ được ưu tiên xét tuyển, tuyển thẳng theo quy định của bộ GD-ĐT","Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Điều kiện để xét tuyển thẳng và ưu tiên vào UIT theo quy định của bộ GD-ĐT là gì,"Điều kiện được ưu tiên xét tuyển thẳng vào tất cả các ngành theo quy định của Bộ GD&ĐT
- Thí sinh đạt giải các môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT, có kết quả kỳ thi THPT quốc gia đáp ứng tiêu chí đảm bảo chất lượng đầu vào do Trường quy định."
"các đối tượng nào sẽ được ưu tiên xét tuyển, tuyển thẳng theo quy định của bộ GD-ĐT","Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Em có giải quốc gia thì có được tuyển thẳng không,"Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Đối tượng nào sẽ được ưu tiên xét tuyển thẳng theo quy định của bộ GD-ĐT ạ,"Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Học sinh nào sẽ được tuyển thẳng theo quy định của bộ GD-ĐT ạ,"Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Ai sẽ được tuyển thẳng vào trường theo quy định của bộ GD-ĐT ạ,"Đối tượng được ưu tiên xét tuyển, tuyển thẳng: Các thí sinh đủ điều kiện xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ GD&ĐT và theo thông báo xét tuyển thẳng, ưu tiên xét tuyển của trường Đại học Công nghệ thông tin (Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế, thí sinh đạt giải Học sinh giỏi quốc gia, giải Khoa học kỹ thuật quốc gia, …)."
Trường tuyển thẳng những đối tượng nào ạ,"UIT có các chương trình ưu tiên xét tuyển, tuyển thẳng như sau:
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của bộ GD&ĐT
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của ĐHQG-HCM
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của trường ĐHCNTT"
UIT ưu tiên tuyển thẳng những học sinh nào ạ,"UIT có các chương trình ưu tiên xét tuyển, tuyển thẳng như sau:
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của bộ GD&ĐT
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của ĐHQG-HCM
- Ưu tiên xét tuyển, tuyển thẳng theo quy định của trường ĐHCNTT"
Điều kiện được xét tuyển thẳng vào tất cả các ngành theo quy định của Bộ GD&ĐT,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Muốn được xét tuyển thẳng thì cần gì theo quy định của Bộ GD&ĐT,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Tôi sẽ xét tuyển thẳng vào trường theo quy định của Bộ GD&ĐT thì tôi cần phải có những gì,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Khi xét tuyển thẳng vào trường theo quy định của Bộ GD&ĐT thì cần gì,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Xét tuyển thẳng vào trường theo quy định của Bộ GD&ĐT cần điều kiện gì,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Xét tuyển thẳng vào trường UIT theo quy định của Bộ GD&ĐT cần có những điều kiện nào?,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Muốn xét tuyển thẳng vào các ngành trong UIT theo quy định của Bộ GD&ĐT cần có gì,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Xét tuyển thẳng vào các ngành trong UIT theo quy định của Bộ GD&ĐT cần có điều kiệu nào,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
Điều kiện cần để được xét tuyển thẳng vào tất cả các ngành trong UIT theo quy định của Bộ GD&ĐT,"- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
"Tôi có dự định xét tuyển thẳng vào UIT theo quy định của Bộ GD&ĐT, tôi cần có những gì để được xét tuyển thẳng","- Thí sinh tham dự kỳ thi chọn đội tuyển quốc gia dự thi Olympic quốc tế môn Tin học, Toán, Vật lý, Hóa học, Ngữ văn, Tiếng Anh, Tiếng Nhật; thí sinh trong đội tuyển quốc gia dự Cuộc thi khoa học, kỹ thuật quốc tế đã tốt nghiệp trung học phổ thông (THPT).
- Thí sinh đạt giải nhất, nhì, ba môn Tin học, Toán, Vật lý, Hóa học, Tiếng Anh, Ngữ văn, Tiếng Nhật trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đạt giải nhất, nhì, ba trong Cuộc thi khoa học kỹ thuật cấp quốc gia đã tốt nghiệp THPT.
- Thí sinh đạt giải nhất, nhì, ba các nghề Cơ điện tử, Tự động hóa công nghiệp, Robot di động, Điện tử, Thiết kế và phát triển trang Web, Giải pháp phần mềm Công nghệ thông tin, Lắp cáp mạng thông tin, Thiết kế đồ họa, Quản trị hệ thống mạng CNTT trong kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế, nếu có bằng tốt nghiệp trung học phổ thông hoặc bằng tốt nghiệp trung cấp, đã học và thi đạt yêu cầu đủ khối lượng kiến thức văn hóa trung học phổ thông theo quy định của pháp luật."
